Nazwa;cena 
Chusteczki;6.99
Dezodorant dla kobiet;7.99
Dezodorant dla mężczyzn;8.38
Krem do ciała;15.44
Krem do rąk;8.79
Krem do twarzy;34.99
Lakier do włosów;18.99
Mleczko do czyszczenia;8.99
Mydło;0.99
Mydło w płynie;2.99
Nici dentystyczne;10.69
Odplamiacz;6.99
Odżywka do włosów ciemnych;15.39
Odżywka do włosów jasnych;14.99
Papier toaletowy;10.49
Pasta do zębów MIĘTOWA;9.79
Pasta do zębów OCHRONA;13.78
Peeling;10.30
Płyn do mycia naczyń;3.99
Płyn do mycia podłóg;13.99
Płyn do mycia szyb;9.99
Płyn do płukania tkanin lawenda;12.30
Płyn do płukania tkanin owocowy;10.99
Płyn do płukania ust;11.29
Proszek do prania BIEL;34.99
Proszek do prania KOLOR;39.99
Ręczniki papierowe;4.69
Szampon dla kobiet;9.89
Szampon dla mężczyzn;8.99
Szczoteczka do zębów HARD;8.99
Szczoteczka do zębów MEDIUM;10.99
Szczoteczka do zębów SOFT;9.99
Żel do toalet;15.39
Żel do włosów;10.59
Żel pod prysznic dla kobiet;10.39
Żel pod prysznic dla mężczyzn;10.11
