Nazwa;wartoœæ energetyczna [kcal];bia³ko [g];t³uszcz [g];wêglowodany [g];cena z³/kg
antrykot;153;20.60;7.20;0.00;23.99
boczek;380;19.80;33.40;0.00;6.49
filet z piersi kurczaka;93;18.70;1.40;1.00;15.49
³opatka wieprzowa;182;26.00;10.00;0.00;10.72
kaczka;137;18.00;5.00;0.00;15.39
karkówka wieprzowa;419;16.50;37.78;0.00;11.99
kie³basa;232;14.80;18.60;1.40;16.99
kurczak;100;21.00;1.50;0.00;11.59
miêso mielone drobiowe;307;17.45;28.00;0.00;7.50
miêso mielone wieprzowe;308;17.20;27.00;0.00;8
miêso mielone wo³owe;310;17.55;27.49;0.00;12.99
miêso mielone z indyka;298;17.39;28.00;0.00;17.30
pasztet;138;10.20;9.50;1.40;4.99
parówki;261;15.00;21.00;3.10;5.30
polêdwica (szynka);89;17.60;0.60;3.30;24.99
polêdwiczki ;97;15.00;3.18;2.00;28.30
schab wieprzowy bez koœci;128;24.00;3.50;0.40;15.99
schab wieprzowy z koœci¹;128;24.00;3.50;0.40;17.30
skrzyde³ka z kurczaka;186;11.50;12.20;0.00;6.99
stek;105;12.80;17.50;2.10;15.99
sznycel drobiowy;101;23.90;0.60;0.00;9.99
szponder;223;20.90;15.60;0.00;16.49
szynka domowa;92;17.99;1.01;3.49;14.99
szynka wieprzowa;98;18.03;0.89;3.21;9.99
udka kurczaka;128;20.50;3.60;0.00;8.41
w¹tróbka;136;19.10;6.30;0.60;4.50
wo³owina ;182;34.60;4.30;0.00;37.99
¿eberka;238;11.20;21.70;0.00;14.99
