Nazwa;wartość energetyczna [kcal];białko [g];tłuszcz [g];węglowodany [g];cena za sztukę
Bita śmietana;332;1.63;19.57;36.87;6.99
Jajka ;139;12.50;9.70;0.60;5.99
Jogurt bananowy;;;;;1.10
Jogurt brzoskwiniowy;;;;;0.89
Jogurt czekoladowy;70;2.89;0.06;13.75;2.10
Jogurt naturalny;42;3.15;0.05;4.50;1.29
Jogurt pitny owocowy;60;2.99;0.05;13.02;2.19
Jogurt truskawkowy;64;3.00;0.05;13.00;0.99
Jogurt waniliowy;63;3.05;0.07;13.13;1.89
Jogurt wiśniowy;64;3.09;0.06;13.09;1.29
Kefir;32;3.00;0.50;4.00;2.49
Margaryna do kanapek;180;0.00;20.00;0.00;2.79
Margaryna do pieczenia;680;0.50;75.00;0.50;3.00
Masło;742;0.60;82.00;0.40;6.99
Maślanka;40;3.10;1.00;4.50;2.99
Mleko 0%;37;3.70;0.00;5.20;2.89
Mleko 2%;48;3.00;2.00;4.60;1.99
Mleko 3.2%;60;3.20;3.20;4.70;2.39
Mleko czekoladowe;60;2.40;1.10;10.20;1.59
Mleko truskawkowe;59;2.40;1.10;9.89;1.49
Serek wiejski;82;11.90;2.50;2.30;1.99
Ser Mozzarella;245;19.00;18.00;1.50;8.49
Ser pleśniowy;345;22.60;29.30;0.00;6.99
Ser topiony;333;16.00;27.00;6.00;3.49
Ser żółty edamski;344;26.00;26.00;1.40;4.99
Ser  żółty gouda;357;24.00;29.00;2.70;5.39
Ser żółty Kaaslander;418;29.00;35.00;0.00;5.99
Smalec;884;0.00;100.00;0.00;1.29
Śmietana 12%;134;2.70;12.00;3.80;1.20
Śmietana 18%;186;2.50;18.00;3.60;2.19
Śmietanka ;186;2.60;18.00;3.99;1.79
Śmietanka do kawy;134;2.70;12.00;3.90;1.89
Twaróg;82;10.20;3.00;3.60;3.69
